Deal Name,Stage,Total Value,Close Date
Elastic Path Software Inc - Nuevo negocio,closedlost,100000,2024-09-11
Diseño inicial de programa - Universidad Complutense de Madrid,closedwon,3000,2023-11-09
Singladura - nuevo negocio digital,closedwon,9585,2024-09-11
MAPFRE - Nuevo negocio,closedlost,,2024-02-05
Johnson Controls- Programa One to One,closedlost,1375,2023-11-17
Laude- Evaluación Personal crítico,closedlost,2995.9,2024-04-02
Mawdy Panamá,closedwon,2382.3,2024-01-04
 Schaefer&Companions - Relojes suizos,closedlost,3260,2024-02-05
Eurofragance-app,closedlost,1500,2024-01-24
Curso Claves para gestionar equipos docentes UCM - junio 2024,closedwon,900,2024-02-05
Fammamoto web,closedlost,2200,2024-06-13
CPC- Estrategias para la mejora de la autogestión ante los desafíos en personas 2024 en CPC,closedwon,2185,2024-02-14
"Campos de Uleila - Auditoría, estrategia, correcciones e implementación SEO",closedwon,3290,2024-02-14
Mantenimiento Mensoft,closedwon,3660,2024-08-16
Programa One to One Xolary,closedwon,1330,2024-03-06
Mejora posicionamiento https://www.elhangareventos.com/simulador#reservas,closedwon,3400,2024-05-06
Procesos One to One (5-10 pax),closedlost,6317,2024-07-02
Marketplace Caldas da Rainha,closedlost,83300,2025-05-16
Marketplace Porto,closedlost,90000,2024-11-20
Consultoría eCommerce,closedlost,5000,2025-04-11
Sao Pedro do Sul,closedlost,50000,2024-11-20
EA Branding mantenimiento,closedlost,12000,2024-07-08
"PROGRAMA INTERNACIONAL DESARROLLO HABILIDADES DE COACHING EN LIDERES, GERENTES Y DIRECTORES- ESP- PROPORTIONE 2024",closedlost,4990,2024-07-02
Rtrain Plus EN,closedwon,4800,2024-08-16
"Fase 2 - Desarrollo e implementación gradual de LMS, ERP (si procede) y CRM (si procede), digitalización de evaluaciones y unificación de marca y contenidos y acompañamiento negocio y Business plan ",closedwon,57852,2025-04-11
Marketplace Shopify - Albergaria a Velha,closedlost,100000,2025-02-03
Farmapozuelo,closedlost,8260,2024-06-19
MAPFRE PANAMA - New Deal,closedlost,2500.4,2024-11-20
Cotswold Tree Care - New Deal,closedlost,11820,2024-11-20
Smileat - Programa de fidelización,closedlost,5400,2024-06-19
Fundación Porqueviven - App de padres,closedwon,165289,2024-12-27
Mantenimiento y soporte Campos de Uleila,closedwon,1200,2024-08-16
Programa One to One- Vincent Lavergne Architecture Urbanisme,closedlost,1263.5,2024-11-20
Condeixa Marketplace,closedlost,64000,2024-11-20
iMBranded,closedlost,60000,2024-08-12
Funchal Marketplace,closedlost,107000,2024-11-20
Elvás marketplace,closedlost,60000,2024-11-20
5decos.com - bebeco5d,closedlost,3600,2025-02-10
"Auditoria, consultoría, marca e identidad digital y página web corporativa y prueba de concepto",closedwon,7500,2024-10-05
Imbranded Strategic consultant ,closedlost,4500,2025-02-03
Quarteira,closedlost,150000,2024-11-20
Município de Oliveira do Bairro - New Deal,closedlost,60000,2025-06-02
Propuesta de participación en Congreso Export Lab  01042025,closedlost,1050,2025-03-14
Gestión de usuarios del CAPPI,closedwon,33057.85,2025-10-15
GUAIX UCM - PROPUESTA DE TALLER FORMATIVO PARA GUAIX,closedlost,1260,2025-10-15
SIPAY - Propuesta de servicios AREA de PERSONAS,closedlost,1980,2025-10-15
WIN2WIN WORLDWIDE S.L. - Hosting y monitorización de la web https://win2winevents.com/,closedwon,1400,2025-05-16
Minsait - Negocios B2B,closedlost,,2025-10-15
Bombarda showroom,closedlost,10360,2025-06-12
Mixer consultoría de Automatización,closedlost,5000,2025-09-09
Formación UCM- Claves de gestión,closedwon,1500,2025-10-15
Farmacia I+ – integración ChatGPT y WhatsApp,closedlost,2000,2025-09-09
LEJAN – Shopify Plus (3 años),closedlost,2300,2025-12-10
Proyecto plataforma aprendizaje gamificada para formar a equipos médicos socio sanitarios,presentationscheduled,100000,2026-01-15
MTP Estrategia de marketing global,decisionmakerboughtin,18000,2026-02-28
Riesgo aviar,appointmentscheduled,50000,2026-04-30
Propuesta Comercial – Canal YouTube “Mensoft Labs” y Plan de Edición & Diseminación de Contenido,closedlost,1010,2025-11-27
IITD Continuidad 2026,decisionmakerboughtin,25200,2025-11-30
El Salvador: Educación en IA,appointmentscheduled,5000,2025-12-31
Prodis eCommerce,appointmentscheduled,30000,2026-05-29
Fundación Porqueviven - Mantenimiento web,closedwon,5000,2025-12-01
Fundación Porqueviven - eCommerce,appointmentscheduled,14750,2026-04-30
