Company Name,Deal Name
"Fundación Prodis","Prodis eCommerce"
"SINGLADURA","Singladura - nuevo negocio digital"
"Mensoft","Mantenimiento Mensoft"
"Mensoft","Propuesta Comercial – Canal YouTube “Mensoft Labs” y Plan de Edición & Diseminación de Contenido"
"Elastic Path Software Inc","Elastic Path Software Inc - Nuevo negocio"
"Universidad Complutense de Madrid","Diseño inicial de programa - Universidad Complutense de Madrid"
"Universidad Complutense de Madrid","Curso Claves para gestionar equipos docentes UCM - junio 2024"
"Universidad Complutense de Madrid","PROGRAMA INTERNACIONAL DESARROLLO HABILIDADES DE COACHING EN LIDERES, GERENTES Y DIRECTORES- ESP- PROPORTIONE 2024"
"Universidad Complutense de Madrid","Rtrain Plus EN"
"Universidad Complutense de Madrid","Formación UCM- Claves de gestión"
"Campos de Uleila","Campos de Uleila - Auditoría, estrategia, correcciones e implementación SEO"
"Campos de Uleila","Mantenimiento y soporte Campos de Uleila"
"MAPFRE","MAPFRE - Nuevo negocio"
"Fundación Porqueviven","Fundación Porqueviven - App de padres"
"Fundación Porqueviven","Gestión de usuarios del CAPPI"
"Fundación Porqueviven","Proyecto plataforma aprendizaje gamificada para formar a equipos médicos socio sanitarios"
"Fundación Porqueviven","Fundación Porqueviven - Mantenimiento web"
"Fundación Porqueviven","Fundación Porqueviven - eCommerce"
"Johnson Controls","Johnson Controls- Programa One to One"
"PANAMA ASISTENCIA, S.A.","Mawdy Panamá"
"Laude","Laude- Evaluación Personal crítico"
"Wonderfultimes"," Schaefer&Companions - Relojes suizos"
"Lejan","LEJAN – Shopify Plus (3 años)"
"Minsait","Marketplace Caldas da Rainha"
"Minsait","Marketplace Porto"
"Minsait","Sao Pedro do Sul"
"Minsait","Funchal Marketplace"
"Minsait","Elvás marketplace"
"Minsait","Minsait - Negocios B2B"
"CARTAGENA PUERTO DE CULTURAS S.A.","CPC- Estrategias para la mejora de la autogestión ante los desafíos en personas 2024 en CPC"
"CARTAGENA PUERTO DE CULTURAS S.A.","Consultoría eCommerce"
"XOLARY, S.L.","Programa One to One Xolary"
"WIN2WIN WORLDWIDE S.L.","Mejora posicionamiento https://www.elhangareventos.com/simulador#reservas"
"WIN2WIN WORLDWIDE S.L.","WIN2WIN WORLDWIDE S.L. - Hosting y monitorización de la web https://win2winevents.com/"
"MAPFRE","Procesos One to One (5-10 pax)"
"INSTITUTO INTERNACIONAL DE TEOLOGÍA A DISTANCIA","Fase 2 - Desarrollo e implementación gradual de LMS, ERP (si procede) y CRM (si procede), digitalización de evaluaciones y unificación de marca y contenidos y acompañamiento negocio y Business plan "
"INSTITUTO INTERNACIONAL DE TEOLOGÍA A DISTANCIA","Auditoria, consultoría, marca e identidad digital y página web corporativa y prueba de concepto"
"INSTITUTO INTERNACIONAL DE TEOLOGÍA A DISTANCIA","IITD Continuidad 2026"
"FARMAPOZUELO","Farmapozuelo"
"MAPFRE PANAMA","MAPFRE PANAMA - New Deal"
"Cotswold Tree Care","Cotswold Tree Care - New Deal"
"Labuenagente","Smileat - Programa de fidelización"
"Vincent Lavergne","Programa One to One- Vincent Lavergne Architecture Urbanisme"
"iMBranded","iMBranded"
"iMBranded","Imbranded Strategic consultant "
"Município de Oliveira do Bairro","Município de Oliveira do Bairro - New Deal"
"GUAIX UCM","GUAIX UCM - PROPUESTA DE TALLER FORMATIVO PARA GUAIX"
"Sipay","SIPAY - Propuesta de servicios AREA de PERSONAS"
"CABILDO DE TENERIFE","Propuesta de participación en Congreso Export Lab  01042025"
"Mixer & Pack S.L.","Mixer consultoría de Automatización"
"Farmacia I+","Farmacia I+ – integración ChatGPT y WhatsApp"
"Estado Mayor del Aire","Riesgo aviar"
"Ministerio de Educación, Ciencia y Tecnología","El Salvador: Educación en IA"
